Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Associate Professor,Finance,Increasing,High,80798.65,High School,14,7926,2303,61.61,41.6,Uk,60.56,-5623,-70.94,3,-41.43,0.42,0.02
Tour Manager,Transportation,Increasing,Low,78021.14,Bachelor’S Degree,13,8297,7546,37.36,90.88,Usa,47.44,-751,-9.05,1,-0.83,0.4,0.11
Community Pharmacist,It,Increasing,Moderate,30926.98,Bachelor’S Degree,1,3143,4957,65.42,75.71,Australia,47.22,1814,57.72,2,14.02,0.01,0.31
Optometrist,Finance,Increasing,Moderate,49462.61,High School,19,2618,5195,23.14,69.25,Uk,64.97,2577,98.43,2,30.27,0.16,0.53
Magazine Features Editor,Finance,Increasing,High,89652.65,Master’S Degree,9,8101,338,19.13,79.31,China,36.91,-7763,-95.83,3,-19.83,0.5,-0.17
Purchasing Manager,Retail,Increasing,High,75097.63,Master’S Degree,11,736,980,54.08,84.25,Canada,78.7,244,33.15,3,5.22,0.38,0.29
"Research Officer, Trade Union",Transportation,Decreasing,Low,62280.01,High School,7,4624,7117,47.63,93.05,India,43.65,2493,53.91,1,3.75,0.27,0.32
Acupuncturist,It,Increasing,Low,131426.55,Associate Degree,1,9643,2937,91.64,44.71,Australia,42.7,-6706,-69.54,1,-38.45,0.85,0.14
"Education Officer, Environmental",Transportation,Increasing,Low,52176.77,Associate Degree,8,7020,2151,51.42,34.74,Canada,44.14,-4869,-69.36,1,-45.26,0.18,-0.03
Dancer,Healthcare,Decreasing,Low,87914.12,Bachelor’S Degree,19,1752,7485,10.93,34.29,China,54.74,5733,327.23,1,215.02,0.48,1.65
Futures Trader,Healthcare,Decreasing,Moderate,90975.43,Associate Degree,1,6900,8586,44.85,33.72,Australia,59.47,1686,24.43,2,16.2,0.51,0.45
Web Designer,It,Increasing,High,39616.9,Bachelor’S Degree,6,5087,9144,72.12,68.54,Canada,76.9,4057,79.75,3,25.09,0.08,0.44
Interior And Spatial Designer,It,Decreasing,High,54538.24,Bachelor’S Degree,18,1451,8072,68.18,22.52,Canada,53.12,6621,456.31,3,353.55,0.2,2.12
Claims Inspector/Assessor,Healthcare,Decreasing,High,136886.93,Phd,15,6592,9304,49.22,2.07,Canada,57.48,2712,41.14,3,40.29,0.89,0.73
Contracting Civil Engineer,Healthcare,Increasing,Moderate,73248.68,Bachelor’S Degree,15,6311,6229,11.04,6.44,Uk,42.63,-82,-1.3,2,-1.22,0.36,0.38
Software Engineer,Education,Decreasing,Low,133630.49,Phd,19,3227,9538,61.25,74.07,Uk,25.51,6311,195.57,1,50.71,0.86,1.12
"Teacher, Secondary School",It,Decreasing,Low,137190.61,High School,13,613,6010,87.17,91.55,Canada,77.28,5397,880.42,1,74.4,0.89,3.82
"Designer, Industrial/Product",Retail,Increasing,Low,78141.84,Phd,19,9961,5805,59.12,31.41,Usa,48.81,-4156,-41.72,1,-28.62,0.4,0.16
Furniture Conservator/Restorer,Finance,Decreasing,High,93602.21,Master’S Degree,6,1239,1240,66.98,86.25,Usa,31.13,1,0.08,3,0.01,0.53,0.2
Careers Adviser,Finance,Increasing,Low,88021.4,Associate Degree,17,3602,558,88.97,92.01,Australia,20.88,-3044,-84.51,1,-6.75,0.48,-0.17
"Engineer, Technical Sales",Healthcare,Increasing,High,149759.93,High School,3,2698,1796,28.4,88.46,Brazil,26.43,-902,-33.43,3,-3.86,1.0,0.2
Sport And Exercise Psychologist,Education,Decreasing,High,133350.01,High School,6,1055,6720,64.62,64.59,China,38.09,5665,536.97,3,190.14,0.86,2.51
"Engineer, Building Services",It,Decreasing,Moderate,57046.53,Master’S Degree,9,7002,3833,56.24,64.62,Australia,79.45,-3169,-45.26,2,-16.01,0.23,-0.01
Secretary/Administrator,Finance,Decreasing,Low,37783.27,Associate Degree,20,1430,2544,24.68,55.83,Germany,79.28,1114,77.9,1,34.41,0.06,0.46
Fine Artist,Entertainment,Increasing,Low,111573.25,Bachelor’S Degree,14,332,9301,35.67,19.31,Brazil,67.01,8969,2701.51,1,2179.85,0.68,11.25
Firefighter,Retail,Decreasing,Low,125101.58,Master’S Degree,5,7623,7839,77.16,56.07,Uk,53.35,216,2.83,1,1.24,0.79,0.38
Rural Practice Surveyor,Healthcare,Increasing,Moderate,78555.9,High School,15,6440,6063,63.16,65.18,Canada,51.5,-377,-5.85,2,-2.04,0.4,0.2
Surgeon,Entertainment,Decreasing,High,57840.93,High School,0,4766,4475,97.28,77.36,Canada,39.85,-291,-6.11,3,-1.38,0.23,0.11
"Therapist, Nutritional",Manufacturing,Increasing,High,38830.98,Bachelor’S Degree,8,1421,3464,62.32,91.18,Uk,49.99,2043,143.77,3,12.68,0.07,0.62
Marketing Executive,Manufacturing,Increasing,High,34195.31,High School,7,6266,1523,77.81,40.13,Germany,36.0,-4743,-75.69,3,-45.32,0.03,-0.11
"Engineer, Broadcasting (Operations)",It,Decreasing,High,129007.26,Master’S Degree,7,4197,3410,11.41,18.13,Uk,70.13,-787,-18.75,3,-15.35,0.83,0.42
"Education Officer, Museum",It,Increasing,High,74659.77,Bachelor’S Degree,10,8142,3549,95.72,57.84,Australia,50.35,-4593,-56.41,3,-23.78,0.37,0.01
Hotel Manager,Healthcare,Increasing,Moderate,108194.71,Master’S Degree,17,5661,8924,57.65,79.55,Brazil,66.69,3263,57.64,2,11.79,0.65,0.49
"Engineer, Structural",Retail,Decreasing,High,96238.71,Associate Degree,6,3506,4585,99.44,10.14,India,74.95,1079,30.78,3,27.66,0.55,0.56
Maintenance Engineer,Entertainment,Increasing,Low,98813.17,High School,17,5683,9047,77.29,80.89,Uk,31.47,3364,59.19,1,11.31,0.57,0.47
Games Developer,It,Decreasing,Moderate,102816.41,High School,10,7818,4898,46.44,51.17,Germany,34.7,-2920,-37.35,2,-18.24,0.61,0.18
Insurance Account Manager,Education,Increasing,Moderate,141530.32,Bachelor’S Degree,8,6783,768,62.83,71.23,Germany,64.12,-6015,-88.68,2,-25.51,0.93,0.01
Dietitian,Healthcare,Decreasing,High,58084.59,High School,14,5567,6134,61.8,5.33,Canada,43.62,567,10.19,3,9.64,0.23,0.39
Speech And Language Therapist,Transportation,Decreasing,High,147476.12,Master’S Degree,0,6719,2073,58.04,46.54,Brazil,77.55,-4646,-69.15,3,-36.97,0.98,0.18
"Horticulturist, Commercial",It,Increasing,High,70111.24,Phd,15,6938,327,46.65,96.0,Germany,35.54,-6611,-95.29,3,-3.81,0.33,-0.27
Newspaper Journalist,Retail,Increasing,Moderate,92926.28,Master’S Degree,11,2901,1438,62.89,49.33,India,78.2,-1463,-50.43,2,-25.55,0.52,0.11
Art Gallery Manager,Entertainment,Decreasing,High,136484.47,Phd,20,7269,7547,99.1,10.69,Brazil,28.26,278,3.82,3,3.42,0.89,0.55
"Chemist, Analytical",Finance,Decreasing,High,140436.65,Master’S Degree,14,8895,1545,21.0,46.96,Usa,39.65,-7350,-82.63,3,-43.83,0.92,0.1
Solicitor,Transportation,Decreasing,Moderate,123443.14,Bachelor’S Degree,20,7553,7997,61.33,81.07,Usa,45.37,444,5.88,2,1.11,0.78,0.31
Chief Marketing Officer,Manufacturing,Decreasing,Low,122149.84,Phd,6,7934,856,61.07,2.57,Germany,69.12,-7078,-89.21,1,-86.92,0.77,0.17
Computer Games Developer,Finance,Increasing,Low,95705.6,Master’S Degree,6,9086,2026,44.85,17.31,Australia,40.99,-7060,-77.7,1,-64.25,0.55,0.1
Race Relations Officer,Transportation,Decreasing,High,60815.59,High School,7,6491,2211,23.31,11.95,Canada,64.2,-4280,-65.94,3,-58.06,0.26,0.08
Data Scientist,Healthcare,Increasing,High,112981.84,Master’S Degree,9,6571,7244,55.25,3.04,Uk,63.85,673,10.24,3,9.93,0.69,0.54
Games Developer,Education,Increasing,Moderate,51916.29,Bachelor’S Degree,0,4746,4329,90.96,15.48,Germany,63.02,-417,-8.79,2,-7.43,0.18,0.27
Mechanical Engineer,Retail,Decreasing,Low,38636.4,Associate Degree,8,458,5784,10.64,47.27,Uk,36.08,5326,1162.88,1,613.19,0.07,4.83
"Programmer, Multimedia",Entertainment,Decreasing,Moderate,141094.28,Associate Degree,20,9498,9638,2.16,57.82,India,73.48,140,1.47,2,0.62,0.93,0.41
Fashion Designer,Education,Decreasing,Low,33289.62,Associate Degree,0,1501,3422,2.98,88.1,Canada,32.31,1921,127.98,1,15.23,0.03,0.56
Futures Trader,Healthcare,Increasing,Moderate,45437.41,Associate Degree,10,5461,7533,7.51,40.17,India,37.34,2072,37.94,2,22.7,0.13,0.37
Early Years Teacher,Manufacturing,Increasing,High,53612.62,High School,10,2415,7893,28.13,71.46,Uk,42.21,5478,226.83,3,64.74,0.2,1.05
Special Educational Needs Teacher,Finance,Increasing,High,138155.29,Bachelor’S Degree,2,8961,5259,11.23,46.41,Usa,40.36,-3702,-41.31,3,-22.14,0.9,0.27
Housing Manager/Officer,Retail,Increasing,High,54130.14,Phd,10,3257,9086,13.36,20.0,Usa,62.3,5829,178.97,3,143.17,0.2,1.02
General Practice Doctor,Finance,Decreasing,High,98027.91,High School,10,4876,6809,23.64,65.12,Brazil,54.83,1933,39.64,3,13.83,0.57,0.43
"Designer, Furniture",Retail,Increasing,Low,92615.34,High School,0,1842,5526,76.67,92.4,Usa,56.61,3684,200.0,1,15.2,0.52,0.98
Forensic Scientist,Finance,Increasing,Low,78000.15,Phd,15,9308,2964,3.15,11.66,Usa,54.1,-6344,-68.16,1,-60.21,0.4,0.11
Graphic Designer,Manufacturing,Increasing,High,52962.78,Master’S Degree,14,8032,6705,68.47,61.45,Brazil,42.06,-1327,-16.52,3,-6.37,0.19,0.11
Solicitor,Healthcare,Decreasing,Low,93000.93,Bachelor’S Degree,8,171,6007,32.09,1.21,Canada,51.28,5836,3412.87,1,3371.57,0.53,14.11
"Scientist, Research (Medical)",Education,Increasing,Low,31240.96,Associate Degree,2,7533,8494,28.73,31.88,Brazil,61.93,961,12.76,1,8.69,0.01,0.26
Fish Farm Manager,Entertainment,Decreasing,Low,75954.35,Associate Degree,11,4237,7629,15.24,49.67,Australia,47.67,3392,80.06,1,40.29,0.38,0.59
"Solicitor, Scotland",Healthcare,Increasing,Moderate,98096.83,Bachelor’S Degree,17,9313,9819,5.98,98.85,Germany,56.86,506,5.43,2,0.06,0.57,0.2
Dealer,It,Decreasing,High,134972.4,Master’S Degree,12,4217,3021,83.05,80.98,Canada,27.52,-1196,-28.36,3,-5.39,0.87,0.21
Corporate Investment Banker,Finance,Increasing,Moderate,72098.57,Phd,14,299,6423,67.65,77.49,Brazil,48.1,6124,2048.16,2,461.04,0.35,8.37
Interior And Spatial Designer,Finance,Increasing,Moderate,105854.08,High School,7,8769,9033,32.54,88.38,Brazil,60.79,264,3.01,2,0.35,0.63,0.24
Theme Park Manager,Entertainment,Increasing,Moderate,87365.42,Phd,18,7532,7978,96.68,63.87,Uk,38.29,446,5.92,2,2.14,0.48,0.28
"Civil Engineer, Contracting",Healthcare,Increasing,High,37142.18,Phd,14,7705,2777,49.68,28.28,China,68.37,-4928,-63.96,3,-45.87,0.06,-0.02
Cytogeneticist,Entertainment,Decreasing,Moderate,76825.55,Associate Degree,0,1214,7910,95.54,29.35,Brazil,66.42,6696,551.57,2,389.68,0.39,2.54
"Psychologist, Counselling",Retail,Decreasing,High,92558.77,Associate Degree,18,1467,5110,59.92,74.93,China,74.47,3643,248.33,3,62.26,0.52,1.22
Aeronautical Engineer,Manufacturing,Increasing,Moderate,69573.97,Phd,9,904,7561,6.38,43.34,Usa,20.72,6657,736.39,2,417.24,0.33,3.21
Retail Banker,Healthcare,Decreasing,Moderate,112836.09,Master’S Degree,2,7760,5966,7.08,64.59,Uk,48.62,-1794,-23.12,2,-8.19,0.69,0.22
"Engineer, Automotive",It,Decreasing,Low,44120.92,Associate Degree,13,5305,6161,70.71,75.45,India,59.94,856,16.14,1,3.96,0.12,0.17
Research Scientist (Maths),Transportation,Decreasing,Moderate,58610.04,Master’S Degree,14,4922,3419,94.1,14.03,Uk,56.56,-1503,-30.54,2,-26.25,0.24,0.21
Orthoptist,Transportation,Decreasing,Moderate,46675.03,Phd,1,7934,456,10.41,61.0,China,34.77,-7478,-94.25,2,-36.76,0.14,-0.22
Fitness Centre Manager,Retail,Increasing,Moderate,44392.89,Phd,20,7046,9318,87.5,53.8,Usa,22.84,2272,32.25,2,14.9,0.12,0.3
Graphic Designer,Education,Increasing,Moderate,114873.9,Master’S Degree,5,6533,7801,61.19,21.33,China,36.34,1268,19.41,2,15.27,0.71,0.53
Hospital Pharmacist,It,Increasing,Moderate,126848.24,High School,19,3099,2035,58.84,26.12,Brazil,71.1,-1064,-34.33,2,-25.37,0.81,0.33
Quantity Surveyor,Finance,Increasing,Low,96056.63,Associate Degree,20,6183,4038,88.07,90.65,Usa,28.47,-2145,-34.69,1,-3.24,0.55,0.05
Environmental Consultant,Finance,Increasing,Moderate,82711.08,Phd,8,7879,4773,57.99,63.78,Germany,62.64,-3106,-39.42,2,-14.28,0.44,0.08
"Nurse, Adult",Manufacturing,Increasing,Moderate,145075.69,Master’S Degree,19,295,4371,49.47,68.54,Germany,63.93,4076,1381.69,2,434.68,0.96,5.91
"Surveyor, Land/Geomatics",Healthcare,Decreasing,High,134858.43,High School,13,5981,3903,90.33,46.37,Canada,43.07,-2078,-34.74,3,-18.63,0.87,0.28
Wellsite Geologist,Retail,Increasing,Moderate,131474.05,Associate Degree,20,5975,2905,22.93,84.7,India,42.4,-3070,-51.38,2,-7.86,0.85,0.09
Pathologist,Healthcare,Decreasing,High,63561.17,Master’S Degree,7,3162,4236,19.6,72.55,Uk,57.48,1074,33.97,3,9.32,0.28,0.3
Systems Developer,Education,Decreasing,Moderate,101053.48,Phd,1,8104,3439,5.48,92.45,Uk,41.63,-4665,-57.56,2,-4.35,0.59,-0.03
"Accountant, Chartered Certified",It,Increasing,High,33213.85,Associate Degree,5,6358,9243,90.64,51.02,Canada,35.98,2885,45.38,3,22.23,0.03,0.34
Education Administrator,Finance,Decreasing,High,84661.83,Phd,1,6874,8786,46.88,16.59,China,73.94,1912,27.81,3,23.2,0.46,0.5
Colour Technologist,Retail,Decreasing,Moderate,71395.44,Phd,9,9815,4346,99.57,58.88,Usa,23.11,-5469,-55.72,2,-22.91,0.34,0.0
Claims Inspector/Assessor,Retail,Increasing,Low,93044.98,Phd,1,3318,3867,53.95,29.56,India,37.68,549,16.55,1,11.66,0.53,0.44
Educational Psychologist,It,Decreasing,Moderate,54733.79,High School,11,8799,9640,10.37,28.79,Germany,67.35,841,9.56,2,6.81,0.21,0.31
Clinical Cytogeneticist,Finance,Decreasing,Low,102929.4,Bachelor’S Degree,5,6720,6743,20.25,18.63,China,23.87,23,0.34,1,0.28,0.61,0.43
Mechanical Engineer,Healthcare,Increasing,Moderate,127551.39,Master’S Degree,3,1999,267,32.31,86.77,Usa,56.1,-1732,-86.64,2,-11.46,0.81,-0.06
Metallurgist,Transportation,Increasing,Low,129672.4,Phd,5,5188,8477,97.77,2.77,Brazil,58.48,3289,63.4,1,61.64,0.83,0.79
"Psychotherapist, Dance Movement",Manufacturing,Increasing,High,88267.76,High School,5,4309,6613,92.46,37.43,India,68.05,2304,53.47,3,33.46,0.49,0.55
Counselling Psychologist,Entertainment,Decreasing,Low,62512.7,Bachelor’S Degree,5,4953,9637,94.05,61.87,Uk,57.75,4684,94.57,1,36.06,0.27,0.57
Agricultural Consultant,Finance,Increasing,Moderate,105885.03,High School,15,9094,8395,82.63,41.01,Germany,25.05,-699,-7.69,2,-4.53,0.63,0.34
Writer,Healthcare,Increasing,High,94016.86,Bachelor’S Degree,1,9798,9641,55.67,81.01,India,54.35,-157,-1.6,3,-0.3,0.53,0.21
Archivist,Healthcare,Increasing,High,64676.15,Master’S Degree,12,9012,5692,53.61,40.88,Brazil,55.15,-3320,-36.84,3,-21.78,0.29,0.12
"Secretary, Company",Education,Increasing,Moderate,87287.62,Associate Degree,10,2096,3987,43.82,43.19,Germany,64.3,1891,90.22,2,51.25,0.48,0.67
Patent Examiner,Retail,Decreasing,High,116856.86,Associate Degree,14,5991,4998,3.91,3.17,Uk,49.22,-993,-16.57,3,-16.05,0.72,0.44
Research Scientist (Life Sciences),Finance,Decreasing,High,106532.02,Master’S Degree,1,6000,221,37.26,84.43,Uk,56.8,-5779,-96.32,3,-15.0,0.64,-0.15
Surgeon,Retail,Decreasing,Low,78611.94,Master’S Degree,10,8397,1774,26.83,15.37,India,43.13,-6623,-78.87,1,-66.75,0.41,0.06
Systems Developer,Retail,Increasing,Moderate,93946.88,Phd,16,2389,2317,75.54,65.35,Brazil,31.88,-72,-3.01,2,-1.04,0.53,0.25
Media Planner,Manufacturing,Increasing,Moderate,32024.72,Master’S Degree,5,8980,7989,92.87,9.95,Brazil,67.78,-991,-11.04,2,-9.94,0.02,0.23
Purchasing Manager,Entertainment,Increasing,High,105325.67,Bachelor’S Degree,17,8867,8200,70.32,11.79,Usa,47.67,-667,-7.52,3,-6.64,0.63,0.42
Mental Health Nurse,Manufacturing,Decreasing,Moderate,117882.73,Master’S Degree,17,1004,7012,93.26,24.77,Australia,71.26,6008,598.41,2,450.18,0.73,2.84
Health And Safety Adviser,Transportation,Decreasing,Low,89491.43,Master’S Degree,12,3276,9141,25.33,77.51,Uk,61.25,5865,179.03,1,40.26,0.5,0.93
Animal Technologist,Finance,Decreasing,High,115358.37,Bachelor’S Degree,12,9109,5880,74.54,83.59,Australia,40.37,-3229,-35.45,3,-5.82,0.71,0.12
Careers Information Officer,Entertainment,Increasing,High,46836.81,Phd,8,3462,5701,87.38,40.16,Brazil,78.04,2239,64.67,3,38.7,0.14,0.48
Educational Psychologist,Healthcare,Decreasing,Moderate,67179.54,Master’S Degree,3,7961,4959,41.76,97.21,Usa,38.01,-3002,-37.71,2,-1.05,0.31,-0.05
Advice Worker,Entertainment,Increasing,Moderate,116761.96,Associate Degree,13,5827,7483,41.57,12.85,Canada,53.25,1656,28.42,2,24.77,0.72,0.59
Dietitian,It,Increasing,High,44453.55,Phd,6,6437,655,60.21,39.88,Uk,37.41,-5782,-89.82,3,-54.0,0.12,-0.14
Writer,Entertainment,Increasing,Moderate,143855.41,Master’S Degree,7,5941,2543,41.78,16.48,China,25.16,-3398,-57.2,2,-47.77,0.95,0.31
Holiday Representative,Finance,Decreasing,Moderate,90048.21,High School,1,7289,3042,91.91,65.36,Uk,37.86,-4247,-58.27,2,-20.18,0.5,0.02
Risk Manager,It,Increasing,Low,42580.82,Bachelor’S Degree,19,4314,7155,82.14,19.66,Usa,77.44,2841,65.86,1,52.91,0.1,0.54
Health Promotion Specialist,Education,Increasing,Low,116336.85,Phd,12,386,9190,84.34,26.92,Usa,53.09,8804,2280.83,1,1666.83,0.72,9.56
Senior Tax Professional/Tax Inspector,Entertainment,Increasing,Low,87473.58,Master’S Degree,8,766,6080,17.17,10.28,Uk,42.4,5314,693.73,1,622.42,0.48,3.19
"Surveyor, Building",Retail,Decreasing,Moderate,51140.25,High School,18,1969,8692,0.72,26.7,China,61.01,6723,341.44,2,250.28,0.18,1.64
Trading Standards Officer,It,Decreasing,Low,54425.41,Associate Degree,19,6536,4781,4.0,33.9,India,40.26,-1755,-26.85,1,-17.75,0.2,0.15
Artist,Entertainment,Increasing,High,37822.42,Bachelor’S Degree,8,5140,1551,28.08,95.73,India,68.69,-3589,-69.82,3,-2.98,0.07,-0.25
Hotel Manager,It,Increasing,Low,74716.51,Bachelor’S Degree,9,6665,9149,98.47,59.31,Usa,76.44,2484,37.27,1,15.16,0.37,0.38
Air Cabin Crew,Education,Decreasing,Moderate,68264.61,Bachelor’S Degree,15,8134,3555,14.29,46.94,Uk,65.39,-4579,-56.29,2,-29.87,0.32,0.03
Banker,Retail,Decreasing,Low,109365.32,Phd,9,3521,4406,84.52,27.14,China,66.89,885,25.13,1,18.31,0.66,0.52
Logistics And Distribution Manager,Manufacturing,Increasing,High,113056.09,Bachelor’S Degree,6,2573,8725,35.37,53.26,China,40.05,6152,239.1,3,111.75,0.69,1.3
"Engineer, Mining",Transportation,Decreasing,Low,106291.22,Associate Degree,8,3617,8157,95.28,85.31,Usa,68.0,4540,125.52,1,18.44,0.64,0.74
Visual Merchandiser,It,Decreasing,Moderate,40598.54,Bachelor’S Degree,0,3643,2112,40.23,91.25,Brazil,26.4,-1531,-42.03,2,-3.68,0.09,-0.12
Health Promotion Specialist,Healthcare,Increasing,Low,68439.26,High School,6,3567,1044,97.34,45.09,Germany,47.18,-2523,-70.73,1,-38.84,0.32,-0.02
Stage Manager,Finance,Decreasing,Low,125362.24,Bachelor’S Degree,0,3178,5549,99.69,90.65,India,56.78,2371,74.61,1,6.98,0.79,0.56
Architectural Technologist,Transportation,Decreasing,Moderate,129487.8,High School,2,1007,4619,60.68,14.02,India,64.32,3612,358.69,2,308.4,0.83,1.94
Senior Tax Professional/Tax Inspector,Retail,Decreasing,Moderate,50668.18,Bachelor’S Degree,13,5129,2925,48.26,83.49,Brazil,20.36,-2204,-42.97,2,-7.09,0.17,-0.07
Health Service Manager,It,Decreasing,Low,98808.42,Master’S Degree,1,9312,9552,39.34,72.89,Canada,76.09,240,2.58,1,0.7,0.57,0.26
Phytotherapist,Finance,Increasing,Low,60998.73,Associate Degree,7,6158,8519,0.15,9.59,Australia,55.15,2361,38.34,1,34.66,0.26,0.5
Dance Movement Psychotherapist,Finance,Increasing,Moderate,94950.89,Associate Degree,9,8384,6768,33.7,54.94,Usa,57.8,-1616,-19.27,2,-8.69,0.54,0.22
"Psychologist, Prison And Probation Services",Healthcare,Decreasing,Moderate,38481.1,High School,18,688,8370,18.45,85.22,Brazil,30.09,7682,1116.57,2,165.03,0.07,4.53
"Engineer, Civil (Contracting)",Transportation,Decreasing,Moderate,33114.6,Phd,13,2317,7198,25.6,60.18,Canada,23.64,4881,210.66,2,83.88,0.03,0.97
Chartered Legal Executive (England And Wales),Retail,Increasing,Moderate,49732.8,High School,15,9435,2958,19.83,55.5,Usa,20.56,-6477,-68.65,2,-30.55,0.16,-0.09
Archivist,Entertainment,Decreasing,Low,127087.69,Bachelor’S Degree,1,180,8639,6.4,39.89,Brazil,51.04,8459,4699.44,1,2824.84,0.81,19.22
Psychotherapist,It,Decreasing,Moderate,36881.21,Phd,11,9917,9245,67.86,67.88,Germany,68.56,-672,-6.78,2,-2.18,0.06,0.09
It Trainer,It,Decreasing,Moderate,61544.71,High School,10,6146,5788,56.44,55.16,Uk,68.94,-358,-5.82,2,-2.61,0.26,0.19
Web Designer,Transportation,Decreasing,Low,34805.63,Associate Degree,15,7749,974,74.72,62.78,Canada,66.21,-6775,-87.43,1,-32.54,0.04,-0.23
"Programmer, Systems",Transportation,Increasing,Moderate,149139.72,Associate Degree,5,2357,6777,16.32,11.26,Usa,31.64,4420,187.53,2,166.41,0.99,1.31
Advertising Account Executive,Retail,Decreasing,Moderate,143309.37,Bachelor’S Degree,9,1317,8207,71.1,88.91,China,47.32,6890,523.16,2,58.02,0.94,2.41
Psychotherapist,Entertainment,Increasing,Low,61492.31,High School,11,1202,869,15.76,8.9,Uk,57.27,-333,-27.7,1,-25.24,0.26,0.24
Psychiatrist,Entertainment,Increasing,Moderate,111176.8,Phd,15,3291,4216,31.11,2.32,Canada,32.13,925,28.11,2,27.45,0.68,0.61
Firefighter,Entertainment,Increasing,High,38262.78,Phd,15,5855,1919,91.76,73.37,Brazil,31.38,-3936,-67.22,3,-17.9,0.07,-0.17
Risk Manager,Entertainment,Decreasing,Moderate,134718.78,High School,8,5022,7459,56.51,11.1,India,39.35,2437,48.53,2,43.14,0.87,0.72
Cytogeneticist,Finance,Decreasing,High,105741.33,Bachelor’S Degree,14,4193,6242,44.21,24.92,Australia,39.46,2049,48.87,3,36.69,0.63,0.61
"Engineer, Agricultural",Finance,Decreasing,High,105366.26,Associate Degree,19,6352,1037,61.71,67.3,Usa,47.93,-5315,-83.67,3,-27.36,0.63,-0.05
Best Boy,Manufacturing,Decreasing,Moderate,132364.53,Master’S Degree,6,5272,8142,64.87,95.38,Canada,46.33,2870,54.44,2,2.52,0.85,0.49
Estate Agent,Healthcare,Increasing,Moderate,128630.76,Bachelor’S Degree,19,4392,1444,31.74,92.18,Germany,72.45,-2948,-67.12,2,-5.25,0.82,0.0
Pensions Consultant,It,Increasing,Moderate,93049.4,Master’S Degree,1,7391,8707,59.43,30.29,Canada,51.67,1316,17.81,2,12.41,0.53,0.44
Actuary,Manufacturing,Decreasing,High,45523.95,High School,11,4889,7523,52.44,40.41,Australia,60.88,2634,53.88,3,32.1,0.13,0.43
Animal Nutritionist,Retail,Decreasing,Low,111338.78,Phd,6,6438,7341,96.16,47.54,Brazil,40.42,903,14.03,1,7.36,0.68,0.42
Dispensing Optician,Education,Increasing,High,63366.85,Master’S Degree,17,660,5751,28.33,60.79,India,58.81,5091,771.36,3,302.45,0.28,3.29
Broadcast Journalist,Education,Decreasing,High,85617.05,Phd,5,5051,9057,63.81,81.78,China,68.37,4006,79.31,3,14.45,0.46,0.51
"Journalist, Newspaper",Transportation,Increasing,Low,125883.15,High School,18,3796,1606,41.2,34.52,Usa,31.53,-2190,-57.69,1,-37.78,0.8,0.21
Tourist Information Centre Manager,Retail,Increasing,High,148844.67,High School,2,2465,7697,26.37,20.16,China,42.32,5232,212.25,3,169.46,0.99,1.39
"Doctor, Hospital",Retail,Increasing,High,75000.83,Associate Degree,11,6008,9890,97.49,29.51,India,21.51,3882,64.61,3,45.55,0.38,0.58
Building Surveyor,It,Increasing,Low,126005.63,Bachelor’S Degree,18,306,699,78.37,84.04,Uk,73.28,393,128.43,1,20.5,0.8,0.8
"Journalist, Magazine",Healthcare,Increasing,Low,122406.42,Phd,3,8827,4475,78.43,93.31,Brazil,52.74,-4352,-49.3,1,-3.3,0.77,0.05
Investment Analyst,Retail,Increasing,Moderate,68234.61,Associate Degree,10,8931,2776,94.62,80.37,India,37.21,-6155,-68.92,2,-13.53,0.32,-0.12
Public Affairs Consultant,Education,Decreasing,Low,89029.95,Associate Degree,20,8590,7981,47.32,13.83,China,40.01,-609,-7.09,1,-6.11,0.49,0.38
Mudlogger,Retail,Increasing,Moderate,72831.4,High School,8,8290,6269,6.55,59.42,India,44.52,-2021,-24.38,2,-9.89,0.36,0.13
Broadcast Presenter,Transportation,Increasing,High,67911.58,Master’S Degree,0,6792,1205,17.94,24.3,India,31.62,-5587,-82.26,3,-62.27,0.32,-0.01
"Geologist, Engineering",It,Decreasing,High,118229.72,Phd,6,3152,8396,84.5,89.65,Brazil,56.96,5244,166.37,3,17.22,0.74,0.92
Occupational Hygienist,Healthcare,Increasing,Moderate,31780.79,Master’S Degree,2,5862,4329,71.95,71.09,Australia,37.23,-1533,-26.15,2,-7.56,0.01,-0.01
Haematologist,Education,Decreasing,Moderate,137564.74,Associate Degree,16,4064,2318,43.79,17.25,Australia,63.01,-1746,-42.96,2,-35.55,0.9,0.35
Chief Strategy Officer,Retail,Decreasing,High,62779.27,Associate Degree,10,9712,1864,54.91,31.71,India,32.93,-7848,-80.81,3,-55.18,0.27,-0.04
Printmaker,Healthcare,Decreasing,Moderate,89421.48,Master’S Degree,2,8313,9660,91.43,90.93,Uk,53.47,1347,16.2,2,1.47,0.5,0.24
Horticultural Therapist,Manufacturing,Increasing,Low,107856.7,Phd,8,8970,9152,34.23,86.65,Brazil,44.32,182,2.03,1,0.27,0.65,0.24
"Conservation Officer, Nature",It,Increasing,High,111510.3,Bachelor’S Degree,20,5130,9885,42.37,12.77,Usa,65.56,4755,92.69,3,80.85,0.68,0.84
